resident_id,case_status,readiness_score,readiness_tier
1,Active,0.05186762752230531,Not Ready
2,Closed,0.9299432144498332,Ready
3,Active,0.8587094205228408,Ready
4,Active,0.030032352306615592,Not Ready
5,Transferred,0.960436871779755,Ready
6,Active,0.043127365278739685,Not Ready
7,Active,0.05477696328581494,Not Ready
8,Active,0.049329143736245404,Not Ready
9,Active,0.023170219163540267,Not Ready
10,Active,0.020808005013973445,Not Ready
11,Closed,0.9530815088532907,Ready
12,Active,0.09243348266916956,Not Ready
13,Closed,0.9120177051568441,Ready
14,Active,0.05117548461160343,Not Ready
15,Transferred,0.01354188810422807,Not Ready
16,Active,0.07949887567569942,Not Ready
17,Active,0.008838112734882032,Not Ready
18,Closed,0.04332424855882988,Not Ready
19,Active,0.9449704394533724,Ready
20,Closed,0.9037177642907783,Ready
21,Active,0.9242491751549168,Ready
22,Transferred,0.864308712582605,Ready
23,Closed,0.07934747063971485,Not Ready
24,Active,0.010632593013848914,Not Ready
25,Active,0.9390920057225137,Ready
26,Closed,0.015004043624273272,Not Ready
27,Transferred,0.04349055107827161,Not Ready
28,Closed,0.015557328858253634,Not Ready
29,Transferred,0.9219901456107902,Ready
30,Transferred,0.9464529040319343,Ready
31,Closed,0.0203120924306354,Not Ready
32,Active,0.053764626445421446,Not Ready
33,Transferred,0.00979120374839635,Not Ready
34,Closed,0.9357667309046561,Ready
35,Transferred,0.06979829936211655,Not Ready
36,Active,0.09075790092795931,Not Ready
37,Closed,0.09179323562468693,Not Ready
38,Active,0.02536961501321911,Not Ready
39,Closed,0.005344981519405655,Not Ready
40,Active,0.013227560850815457,Not Ready
41,Active,0.020070883607055747,Not Ready
42,Active,0.02627900801112777,Not Ready
43,Closed,0.01599605698213179,Not Ready
44,Closed,0.8798632057201129,Ready
45,Transferred,0.07877345521814944,Not Ready
46,Active,0.0407865660395871,Not Ready
47,Closed,0.092893527136753,Not Ready
48,Active,0.01580369214935565,Not Ready
49,Active,0.9073057649454543,Ready
50,Active,0.017806273547500088,Not Ready
51,Closed,0.021627410117232695,Not Ready
52,Closed,0.9031414602452091,Ready
53,Active,0.9529454651999199,Ready
54,Transferred,0.052776336420101086,Not Ready
55,Active,0.021483298788855177,Not Ready
56,Closed,0.8210287637572259,Ready
57,Active,0.005264344048772531,Not Ready
58,Closed,0.012043099393138109,Not Ready
59,Active,0.9511474456173199,Ready
60,Transferred,0.06917520282858428,Not Ready
