resident_id,actual_school_struggle,struggle_risk_score,struggle_risk_tier
1,1,99.2,High Risk
2,0,4.0,Lower Risk
3,1,96.8,High Risk
4,0,6.4,Lower Risk
5,1,97.8,High Risk
6,1,96.5,High Risk
7,1,97.4,High Risk
8,1,98.6,High Risk
9,1,97.2,High Risk
10,1,99.0,High Risk
11,0,3.0,Lower Risk
12,1,97.6,High Risk
13,1,97.9,High Risk
14,0,3.7,Lower Risk
15,1,96.1,High Risk
16,1,97.1,High Risk
17,0,5.1,Lower Risk
18,0,1.5,Lower Risk
19,1,98.3,High Risk
20,1,96.8,High Risk
21,0,4.8,Lower Risk
22,1,94.9,High Risk
23,0,5.1,Lower Risk
24,1,98.8,High Risk
25,1,97.6,High Risk
26,0,3.0,Lower Risk
27,0,1.6,Lower Risk
28,1,96.3,High Risk
29,0,3.0,Lower Risk
30,1,97.6,High Risk
31,0,1.4,Lower Risk
32,0,3.3,Lower Risk
33,1,96.1,High Risk
34,0,2.1,Lower Risk
35,0,4.6,Lower Risk
36,1,98.3,High Risk
37,1,97.0,High Risk
38,0,1.5,Lower Risk
39,1,97.8,High Risk
40,0,3.9,Lower Risk
41,0,3.5,Lower Risk
42,0,3.1,Lower Risk
43,1,96.8,High Risk
44,1,96.3,High Risk
45,0,5.6,Lower Risk
46,0,1.8,Lower Risk
47,1,97.8,High Risk
48,0,2.5,Lower Risk
49,1,98.4,High Risk
50,1,98.5,High Risk
51,0,4.5,Lower Risk
52,1,98.4,High Risk
53,0,3.8,Lower Risk
54,1,98.7,High Risk
55,1,99.3,High Risk
56,0,3.6,Lower Risk
57,0,5.1,Lower Risk
58,1,95.2,High Risk
59,1,95.9,High Risk
60,1,96.6,High Risk
